ent_station,ext_station,ent_time_period,riders_average_weekday
Anacostia,College Park-U of MD,AM Peak,13.227272727272727
Anacostia,Columbia Heights,AM Peak,135.5909090909091
Anacostia,Congress Heights,AM Peak,10.227272727272727
Anacostia,Court House,AM Peak,9.590909090909092
Anacostia,Crystal City,AM Peak,34.36363636363637
Anacostia,Deanwood,AM Peak,11.181818181818182
Anacostia,Dunn Loring,AM Peak,6.7272727272727275
Anacostia,Dupont Circle,AM Peak,56.13636363636363
Anacostia,East Falls Church,AM Peak,1.5454545454545454
Anacostia,Eastern Market,AM Peak,8.409090909090908
Anacostia,Eisenhower Avenue,AM Peak,3.090909090909091
Anacostia,Farragut North,AM Peak,74.54545454545455
Anacostia,Farragut West,AM Peak,107.0
Anacostia,Federal Center SW,AM Peak,16.09090909090909
Anacostia,Federal Triangle,AM Peak,52.63636363636363
Anacostia,Foggy Bottom,AM Peak,110.9090909090909
Anacostia,Forest Glen,AM Peak,1.9090909090909092
Anacostia,Fort Totten,AM Peak,60.59090909090909
Anacostia,Franconia-Springfield,AM Peak,15.590909090909092
Anacostia,Friendship Heights,AM Peak,21.636363636363637
Anacostia,Gallery Place-Chinatown,AM Peak,154.5
Anacostia,Georgia Avenue-Petworth,AM Peak,77.4090909090909
Anacostia,Glenmont,AM Peak,4.7272727272727275
Anacostia,Greenbelt,AM Peak,17.772727272727273
Anacostia,Grosvenor,AM Peak,5.454545454545454
Anacostia,Huntington,AM Peak,10.727272727272727
Anacostia,Judiciary Square,AM Peak,56.90909090909091
Anacostia,King Street,AM Peak,18.5
Anacostia,Landover,AM Peak,4.0
Anacostia,Largo Town Center,AM Peak,12.909090909090908
Anacostia,L'Enfant Plaza,AM Peak,154.3181818181818
Anacostia,McPherson Square,AM Peak,107.63636363636364
Anacostia,Medical Center,AM Peak,34.5
Anacostia,Metro Center,AM Peak,63.09090909090909
Anacostia,Minnesota Avenue,AM Peak,59.27272727272727
Anacostia,Morgan Blvd.,AM Peak,3.772727272727273
Anacostia,Mt. Vernon Square-UDC,AM Peak,62.31818181818182
Anacostia,Navy Yard,AM Peak,75.54545454545455
Anacostia,Naylor Road,AM Peak,14.954545454545455
Anacostia,New Carrollton,AM Peak,22.681818181818183
Anacostia,New York Ave,AM Peak,48.72727272727273
Anacostia,Pentagon,AM Peak,79.86363636363636
Anacostia,Pentagon City,AM Peak,24.727272727272727
Anacostia,Potomac Avenue,AM Peak,9.136363636363637
Anacostia,Prince George's Plaza,AM Peak,21.318181818181817
Anacostia,Reagan Washington National Airport,AM Peak,8.727272727272727
Anacostia,Rhode Island Avenue,AM Peak,68.77272727272727
Anacostia,Rockville,AM Peak,9.045454545454545
Anacostia,Rosslyn,AM Peak,35.95454545454545
Anacostia,Shady Grove,AM Peak,12.590909090909092
Anacostia,Shaw-Howard University,AM Peak,87.77272727272727
Anacostia,Silver Spring,AM Peak,36.72727272727273
Anacostia,Smithsonian,AM Peak,28.818181818181817
Anacostia,Southern Avenue,AM Peak,18.09090909090909
Anacostia,Stadium-Armory,AM Peak,35.09090909090909
Anacostia,Suitland,AM Peak,51.09090909090909
Anacostia,Takoma,AM Peak,13.454545454545455
Anacostia,Tenleytown-AU,AM Peak,41.45454545454545
Anacostia,Twinbrook,AM Peak,8.818181818181818
Anacostia,U Street-Cardozo,AM Peak,68.04545454545455
Anacostia,Union Station,AM Peak,89.13636363636364
Anacostia,Van Dorn Street,AM Peak,4.909090909090909
Anacostia,Van Ness-UDC,AM Peak,21.363636363636363
Anacostia,Vienna,AM Peak,6.545454545454546
Anacostia,Virginia Square-GMU,AM Peak,5.636363636363637
Anacostia,Waterfront,AM Peak,52.63636363636363
Anacostia,West Falls Church,AM Peak,18.181818181818183
Anacostia,West Hyattsville,AM Peak,4.681818181818182
Anacostia,Wheaton,AM Peak,7.090909090909091
Anacostia,White Flint,AM Peak,8.636363636363637
Anacostia,Woodley Park-Zoo,AM Peak,9.545454545454545
Archives-Navy Memorial,Addison Road,AM Peak,0.5909090909090909
Archives-Navy Memorial,Anacostia,AM Peak,12.272727272727273
Archives-Navy Memorial,Archives-Navy Memorial,AM Peak,9.363636363636363
Archives-Navy Memorial,Arlington Cemetery,AM Peak,0.3181818181818182
Archives-Navy Memorial,Ballston,AM Peak,0.9545454545454546
Archives-Navy Memorial,Benning Road,AM Peak,0.7727272727272727
Archives-Navy Memorial,Bethesda,AM Peak,0.8181818181818182
Archives-Navy Memorial,Braddock Road,AM Peak,5.0
Archives-Navy Memorial,Branch Avenue,AM Peak,3.590909090909091
Archives-Navy Memorial,Brookland,AM Peak,2.6818181818181817
Archives-Navy Memorial,Capitol Heights,AM Peak,0.8636363636363636
Archives-Navy Memorial,Capitol South,AM Peak,10.136363636363637
Archives-Navy Memorial,Cheverly,AM Peak,0.18181818181818182
Archives-Navy Memorial,Clarendon,AM Peak,0.22727272727272727
Archives-Navy Memorial,College Park-U of MD,AM Peak,7.318181818181818
Archives-Navy Memorial,Columbia Heights,AM Peak,13.0
Archives-Navy Memorial,Congress Heights,AM Peak,4.545454545454546
Archives-Navy Memorial,Court House,AM Peak,0.18181818181818182
Archives-Navy Memorial,Crystal City,AM Peak,28.954545454545453
Archives-Navy Memorial,Deanwood,AM Peak,0.5
Archives-Navy Memorial,Dunn Loring,AM Peak,0.45454545454545453
Archives-Navy Memorial,Dupont Circle,AM Peak,2.9545454545454546
Archives-Navy Memorial,East Falls Church,AM Peak,0.5909090909090909
Archives-Navy Memorial,Eastern Market,AM Peak,4.136363636363637
Archives-Navy Memorial,Eisenhower Avenue,AM Peak,1.7727272727272727
Archives-Navy Memorial,Farragut North,AM Peak,4.318181818181818
Archives-Navy Memorial,Farragut West,AM Peak,4.5
Archives-Navy Memorial,Federal Center SW,AM Peak,5.590909090909091
Archives-Navy Memorial,Federal Triangle,AM Peak,0.45454545454545453
Archives-Navy Memorial,Foggy Bottom,AM Peak,3.0
Archives-Navy Memorial,Forest Glen,AM Peak,0.18181818181818182
Archives-Navy Memorial,Fort Totten,AM Peak,4.2727272727272725
Archives-Navy Memorial,Franconia-Springfield,AM Peak,2.0
Archives-Navy Memorial,Friendship Heights,AM Peak,0.6818181818181818
Archives-Navy Memorial,Gallery Place-Chinatown,AM Peak,11.136363636363637
Archives-Navy Memorial,Georgia Avenue-Petworth,AM Peak,3.727272727272727
Archives-Navy Memorial,Glenmont,AM Peak,0.045454545454545456
Archives-Navy Memorial,Greenbelt,AM Peak,6.7727272727272725
Archives-Navy Memorial,Grosvenor,AM Peak,0.3181818181818182
Archives-Navy Memorial,Huntington,AM Peak,6.0
Archives-Navy Memorial,Judiciary Square,AM Peak,2.0
Archives-Navy Memorial,King Street,AM Peak,15.318181818181818
Archives-Navy Memorial,Landover,AM Peak,0.18181818181818182
Archives-Navy Memorial,Largo Town Center,AM Peak,1.0909090909090908
Archives-Navy Memorial,L'Enfant Plaza,AM Peak,34.95454545454545
Archives-Navy Memorial,McPherson Square,AM Peak,3.272727272727273
Archives-Navy Memorial,Medical Center,AM Peak,0.5
Archives-Navy Memorial,Metro Center,AM Peak,1.1818181818181819
Archives-Navy Memorial,Minnesota Avenue,AM Peak,1.3181818181818181
Archives-Navy Memorial,Morgan Blvd.,AM Peak,0.09090909090909091
Archives-Navy Memorial,Mt. Vernon Square-UDC,AM Peak,4.045454545454546
Archives-Navy Memorial,Navy Yard,AM Peak,25.363636363636363
Archives-Navy Memorial,Naylor Road,AM Peak,1.7272727272727273
Archives-Navy Memorial,New Carrollton,AM Peak,2.272727272727273
Archives-Navy Memorial,New York Ave,AM Peak,6.909090909090909
Archives-Navy Memorial,Pentagon,AM Peak,31.045454545454547
Archives-Navy Memorial,Pentagon City,AM Peak,10.818181818181818
Archives-Navy Memorial,Potomac Avenue,AM Peak,1.0454545454545454
Archives-Navy Memorial,Prince George's Plaza,AM Peak,4.136363636363637
Archives-Navy Memorial,Reagan Washington National Airport,AM Peak,13.909090909090908
Archives-Navy Memorial,Rhode Island Avenue,AM Peak,1.2272727272727273
Archives-Navy Memorial,Rockville,AM Peak,0.2727272727272727
Archives-Navy Memorial,Rosslyn,AM Peak,4.7727272727272725
Archives-Navy Memorial,Shady Grove,AM Peak,0.4090909090909091
Archives-Navy Memorial,Shaw-Howard University,AM Peak,3.590909090909091
Archives-Navy Memorial,Silver Spring,AM Peak,4.7727272727272725
Archives-Navy Memorial,Smithsonian,AM Peak,4.909090909090909
Archives-Navy Memorial,Southern Avenue,AM Peak,4.318181818181818
Archives-Navy Memorial,Stadium-Armory,AM Peak,0.9090909090909091
Archives-Navy Memorial,Suitland,AM Peak,4.545454545454546
Archives-Navy Memorial,Takoma,AM Peak,1.0909090909090908
Archives-Navy Memorial,Tenleytown-AU,AM Peak,0.9545454545454546
Archives-Navy Memorial,Twinbrook,AM Peak,0.09090909090909091
Archives-Navy Memorial,U Street-Cardozo,AM Peak,6.681818181818182
Archives-Navy Memorial,Union Station,AM Peak,9.409090909090908
Archives-Navy Memorial,Van Dorn Street,AM Peak,2.227272727272727
Archives-Navy Memorial,Van Ness-UDC,AM Peak,0.45454545454545453
Archives-Navy Memorial,Vienna,AM Peak,1.1818181818181819
Archives-Navy Memorial,Virginia Square-GMU,AM Peak,0.18181818181818182
Archives-Navy Memorial,Waterfront,AM Peak,4.818181818181818
Archives-Navy Memorial,West Falls Church,AM Peak,2.0454545454545454
Archives-Navy Memorial,West Hyattsville,AM Peak,4.863636363636363
Archives-Navy Memorial,Wheaton,AM Peak,0.18181818181818182
Archives-Navy Memorial,White Flint,AM Peak,0.13636363636363635
Archives-Navy Memorial,Woodley Park-Zoo,AM Peak,0.45454545454545453
Arlington Cemetery,Addison Road,AM Peak,0.18181818181818182
Arlington Cemetery,Anacostia,AM Peak,0.045454545454545456
Arlington Cemetery,Arlington Cemetery,AM Peak,4.0
