ent_station,ext_station,ent_time_period,riders_average_saturday,trip_length
archives,ballston-mu,AM Peak,0.25,8
archives,benning road,AM Peak,0.25,7
archives,braddock road,AM Peak,0.75,7
archives,branch avenue,AM Peak,5.75,9
archives,brookland cua,AM Peak,1.0,6
archives,capitol south,AM Peak,1.25,3
archives,cheverly,AM Peak,0.25,9
archives,clarendon,AM Peak,0.25,6
archives,columbia heights,AM Peak,3.5,5
archives,congress heights,AM Peak,0.75,5
archives,crystal city,AM Peak,1.5,4
archives,deanwood,AM Peak,0.25,8
archives,dupont circle,AM Peak,0.25,4
archives,eastern market,AM Peak,1.75,4
archives,eisenhower avenue,AM Peak,0.75,9
archives,farragut north,AM Peak,0.25,3
archives,farragut west,AM Peak,0.25,4
archives,foggy bottom gwu,AM Peak,0.75,5
archives,forest glen,AM Peak,0.5,10
archives,fort totten,AM Peak,4.25,7
archives,franconia springfield,AM Peak,1.0,10
archives,friendship heights,AM Peak,0.25,9
archives,gallery place,AM Peak,1.0,1
archives,georgia avenue petworth,AM Peak,1.0,6
archives,greenbelt,AM Peak,0.5,11
archives,huntington,AM Peak,3.5,10
archives,king street old town,AM Peak,2.75,8
archives,largo,AM Peak,0.25,11
archives,l'enfant plaza,AM Peak,0.25,1
archives,mcpherson square,AM Peak,0.5,3
archives,metro center,AM Peak,0.25,2
archives,minnesota avenue,AM Peak,1.0,7
archives,mount vernon square,AM Peak,2.0,2
archives,navy yard ballpark,AM Peak,3.75,3
archives,naylor road,AM Peak,0.75,7
archives,new carrollton,AM Peak,0.5,11
archives,noma gallaudet u,AM Peak,0.25,4
archives,pentagon,AM Peak,1.5,2
archives,pentagon city,AM Peak,3.75,3
archives,potomac avenue,AM Peak,0.25,5
archives,hyattsville crossing,AM Peak,1.25,9
archives,national airport,AM Peak,6.25,5
archives,rhode island avenue,AM Peak,0.25,5
archives,rosslyn,AM Peak,0.25,4
archives,shady grove,AM Peak,0.25,16
archives,shaw howard university,AM Peak,0.75,3
archives,silver spring,AM Peak,1.5,9
archives,southern avenue,AM Peak,2.0,6
archives,suitland,AM Peak,1.5,8
archives,takoma,AM Peak,0.75,8
archives,tenleytown au,AM Peak,0.75,8
archives,twinbrook,AM Peak,0.25,14
archives,u street,AM Peak,2.75,4
archives,union station,AM Peak,3.25,3
archives,van dorn street,AM Peak,0.25,9
archives,vienna,AM Peak,0.25,12
archives,waterfront,AM Peak,2.75,2
archives,west hyattsville,AM Peak,1.25,8
archives,north bethesda,AM Peak,0.25,13
archives,woodley park,AM Peak,0.25,5
arlington cemetery,arlington cemetery,AM Peak,2.5,0
arlington cemetery,capitol south,AM Peak,2.5,4
arlington cemetery,crystal city,AM Peak,0.5,3
arlington cemetery,dupont circle,AM Peak,0.25,7
arlington cemetery,federal triangle,AM Peak,0.25,4
arlington cemetery,foggy bottom gwu,AM Peak,1.0,2
arlington cemetery,l'enfant plaza,AM Peak,0.5,2
arlington cemetery,mcpherson square,AM Peak,0.25,4
arlington cemetery,navy yard ballpark,AM Peak,0.25,4
arlington cemetery,new carrollton,AM Peak,0.5,12
arlington cemetery,pentagon,AM Peak,0.5,1
arlington cemetery,national airport,AM Peak,0.25,4
arlington cemetery,rosslyn,AM Peak,1.25,1
arlington cemetery,smithsonian,AM Peak,1.5,3
arlington cemetery,virginia square gmu,AM Peak,0.25,4
ballston-mu,anacostia,AM Peak,3.5,10
ballston-mu,archives,AM Peak,2.0,8
ballston-mu,arlington cemetery,AM Peak,14.25,5
ballston-mu,ballston-mu,AM Peak,10.0,0
ballston-mu,bethesda,AM Peak,6.25,16
ballston-mu,braddock road,AM Peak,0.25,11
ballston-mu,branch avenue,AM Peak,2.25,15
ballston-mu,brookland cua,AM Peak,4.5,14
ballston-mu,capitol south,AM Peak,3.0,9
ballston-mu,cheverly,AM Peak,0.75,15
ballston-mu,clarendon,AM Peak,7.75,2
ballston-mu,cleveland park,AM Peak,2.75,12
ballston-mu,college park university of maryland,AM Peak,1.0,18
ballston-mu,columbia heights,AM Peak,7.0,13
ballston-mu,court house,AM Peak,7.25,3
ballston-mu,crystal city,AM Peak,5.0,8
ballston-mu,deanwood,AM Peak,1.0,14
ballston-mu,dunn loring,AM Peak,12.5,3
ballston-mu,dupont circle,AM Peak,9.5,10
ballston-mu,east falls church,AM Peak,6.75,1
ballston-mu,eastern market,AM Peak,10.0,10
ballston-mu,eisenhower avenue,AM Peak,1.0,13
ballston-mu,farragut north,AM Peak,1.75,9
ballston-mu,farragut west,AM Peak,27.0,6
ballston-mu,federal center sw,AM Peak,2.0,8
ballston-mu,federal triangle,AM Peak,12.25,9
ballston-mu,foggy bottom gwu,AM Peak,31.25,5
ballston-mu,forest glen,AM Peak,0.5,18
ballston-mu,fort totten,AM Peak,2.5,15
ballston-mu,franconia springfield,AM Peak,3.75,14
ballston-mu,friendship heights,AM Peak,2.75,15
ballston-mu,gallery place,AM Peak,6.75,9
ballston-mu,georgia avenue petworth,AM Peak,1.75,14
ballston-mu,glenmont,AM Peak,3.75,20
ballston-mu,greenbelt,AM Peak,1.5,19
ballston-mu,grosvenor strathmore,AM Peak,0.75,18
ballston-mu,huntington,AM Peak,3.0,14
ballston-mu,judiciary square,AM Peak,3.25,10
ballston-mu,king street old town,AM Peak,2.25,12
ballston-mu,landover,AM Peak,2.5,16
ballston-mu,largo,AM Peak,1.5,17
ballston-mu,l'enfant plaza,AM Peak,4.75,7
ballston-mu,mcpherson square,AM Peak,17.5,7
ballston-mu,metro center,AM Peak,35.25,8
ballston-mu,minnesota avenue,AM Peak,0.5,13
ballston-mu,morgan boulevard,AM Peak,0.5,16
ballston-mu,mount vernon square,AM Peak,4.75,10
ballston-mu,navy yard ballpark,AM Peak,4.0,9
ballston-mu,naylor road,AM Peak,0.75,13
ballston-mu,new carrollton,AM Peak,2.25,17
ballston-mu,noma gallaudet u,AM Peak,3.0,12
ballston-mu,pentagon,AM Peak,0.5,6
ballston-mu,pentagon city,AM Peak,3.25,7
ballston-mu,potomac avenue,AM Peak,3.0,11
ballston-mu,hyattsville crossing,AM Peak,0.75,17
ballston-mu,national airport,AM Peak,19.75,9
ballston-mu,rhode island avenue,AM Peak,0.5,13
ballston-mu,rockville,AM Peak,3.75,21
ballston-mu,rosslyn,AM Peak,27.5,4
ballston-mu,shady grove,AM Peak,4.0,22
ballston-mu,shaw howard university,AM Peak,1.5,11
ballston-mu,silver spring,AM Peak,3.75,17
ballston-mu,smithsonian,AM Peak,28.75,8
ballston-mu,southern avenue,AM Peak,2.0,12
ballston-mu,stadium armory,AM Peak,1.75,12
ballston-mu,suitland,AM Peak,2.0,14
ballston-mu,takoma,AM Peak,1.5,16
ballston-mu,tenleytown au,AM Peak,4.0,14
ballston-mu,twinbrook,AM Peak,1.75,20
ballston-mu,u street,AM Peak,3.5,12
ballston-mu,union station,AM Peak,23.0,11
ballston-mu,van dorn street,AM Peak,0.5,13
ballston-mu,van ness udc,AM Peak,3.5,13
ballston-mu,vienna,AM Peak,24.75,4
ballston-mu,virginia square gmu,AM Peak,0.75,1
ballston-mu,waterfront,AM Peak,0.5,8
ballston-mu,west falls church,AM Peak,13.5,2
ballston-mu,west hyattsville,AM Peak,0.25,16
ballston-mu,wheaton,AM Peak,0.75,19
ballston-mu,north bethesda,AM Peak,1.25,19
ballston-mu,woodley park,AM Peak,7.25,11
benning road,addison road,AM Peak,17.5,2
benning road,anacostia,AM Peak,4.25,9
benning road,archives,AM Peak,2.0,7
benning road,ballston-mu,AM Peak,1.25,13
benning road,benning road,AM Peak,5.25,0
benning road,bethesda,AM Peak,1.25,17
benning road,braddock road,AM Peak,2.5,12
benning road,branch avenue,AM Peak,2.5,14
benning road,brookland cua,AM Peak,6.25,13
benning road,capitol heights,AM Peak,1.25,1
benning road,capitol south,AM Peak,3.25,4
benning road,cheverly,AM Peak,0.25,4
benning road,clarendon,AM Peak,1.0,11
benning road,cleveland park,AM Peak,1.0,13
benning road,college park university of maryland,AM Peak,0.5,17
benning road,columbia heights,AM Peak,12.25,12
benning road,congress heights,AM Peak,0.5,10
benning road,court house,AM Peak,0.75,10
benning road,crystal city,AM Peak,3.5,9
benning road,deanwood,AM Peak,1.25,3
benning road,dunn loring,AM Peak,0.5,16
benning road,dupont circle,AM Peak,4.0,11
benning road,east falls church,AM Peak,0.5,14
benning road,eastern market,AM Peak,9.5,3
benning road,eisenhower avenue,AM Peak,0.5,14
benning road,farragut north,AM Peak,3.25,10
benning road,farragut west,AM Peak,10.0,11
benning road,federal center sw,AM Peak,4.25,5
benning road,federal triangle,AM Peak,1.5,8
benning road,foggy bottom gwu,AM Peak,18.0,10
benning road,forest glen,AM Peak,0.75,17
benning road,fort totten,AM Peak,11.5,14
benning road,franconia springfield,AM Peak,1.5,15
benning road,friendship heights,AM Peak,6.75,16
benning road,gallery place,AM Peak,8.0,8
benning road,georgia avenue petworth,AM Peak,5.0,13
benning road,glenmont,AM Peak,1.25,19
benning road,greenbelt,AM Peak,0.75,18
benning road,huntington,AM Peak,0.75,15
benning road,judiciary square,AM Peak,2.75,9
benning road,king street old town,AM Peak,1.75,13
benning road,landover,AM Peak,0.5,5
benning road,largo,AM Peak,11.25,4
benning road,l'enfant plaza,AM Peak,5.5,6
benning road,mcpherson square,AM Peak,5.25,10
benning road,medical center,AM Peak,1.0,18
benning road,metro center,AM Peak,12.25,9
benning road,minnesota avenue,AM Peak,1.0,2
benning road,morgan boulevard,AM Peak,3.25,3
benning road,mount vernon square,AM Peak,3.75,9
benning road,navy yard ballpark,AM Peak,6.5,8
benning road,naylor road,AM Peak,2.5,12
benning road,new carrollton,AM Peak,4.25,6
benning road,noma gallaudet u,AM Peak,4.5,11
benning road,pentagon,AM Peak,2.5,7
benning road,pentagon city,AM Peak,9.25,8
benning road,potomac avenue,AM Peak,9.0,2
benning road,hyattsville crossing,AM Peak,3.25,16
benning road,national airport,AM Peak,2.0,10
benning road,rhode island avenue,AM Peak,7.0,12
benning road,rockville,AM Peak,1.5,22
benning road,rosslyn,AM Peak,2.25,9
benning road,shady grove,AM Peak,1.5,23
benning road,shaw howard university,AM Peak,4.0,10
benning road,silver spring,AM Peak,3.0,16
benning road,smithsonian,AM Peak,5.75,7
benning road,southern avenue,AM Peak,2.5,11
benning road,stadium armory,AM Peak,5.0,1
benning road,suitland,AM Peak,3.0,13
benning road,takoma,AM Peak,2.0,15
benning road,tenleytown au,AM Peak,4.0,15
benning road,twinbrook,AM Peak,1.25,21
benning road,u street,AM Peak,6.75,11
benning road,union station,AM Peak,6.25,10
benning road,van dorn street,AM Peak,1.5,14
benning road,van ness udc,AM Peak,5.75,14
benning road,vienna,AM Peak,0.25,17
benning road,virginia square gmu,AM Peak,0.25,12
benning road,waterfront,AM Peak,5.75,7
benning road,west falls church,AM Peak,3.25,15
benning road,west hyattsville,AM Peak,0.5,15
benning road,wheaton,AM Peak,1.75,18
benning road,north bethesda,AM Peak,0.75,20
benning road,woodley park,AM Peak,5.25,12
bethesda,addison road,AM Peak,0.75,19
bethesda,anacostia,AM Peak,1.25,14
bethesda,archives,AM Peak,1.25,10
bethesda,arlington cemetery,AM Peak,5.0,13
bethesda,ballston-mu,AM Peak,2.5,16
bethesda,bethesda,AM Peak,5.5,0
bethesda,braddock road,AM Peak,1.0,17
bethesda,branch avenue,AM Peak,5.0,19
bethesda,brookland cua,AM Peak,5.0,14
bethesda,capitol heights,AM Peak,0.5,18
bethesda,capitol south,AM Peak,1.25,13
bethesda,clarendon,AM Peak,1.25,14
bethesda,cleveland park,AM Peak,6.25,4
bethesda,college park university of maryland,AM Peak,0.25,18
bethesda,columbia heights,AM Peak,1.5,13
bethesda,crystal city,AM Peak,2.0,14
bethesda,deanwood,AM Peak,0.25,18
bethesda,dupont circle,AM Peak,36.0,6
bethesda,east falls church,AM Peak,1.0,17
bethesda,eastern market,AM Peak,4.0,14
bethesda,farragut north,AM Peak,56.0,7
bethesda,farragut west,AM Peak,0.5,10
bethesda,federal center sw,AM Peak,1.0,12
bethesda,federal triangle,AM Peak,7.5,9
bethesda,foggy bottom gwu,AM Peak,15.5,11
bethesda,forest glen,AM Peak,0.5,18
bethesda,fort totten,AM Peak,1.25,15
bethesda,franconia springfield,AM Peak,1.5,20
bethesda,friendship heights,AM Peak,16.5,1
bethesda,gallery place,AM Peak,22.75,9
bethesda,georgia avenue petworth,AM Peak,1.75,14
bethesda,glenmont,AM Peak,0.25,20
bethesda,greenbelt,AM Peak,1.25,19
bethesda,grosvenor strathmore,AM Peak,2.5,2
bethesda,huntington,AM Peak,0.25,20
bethesda,judiciary square,AM Peak,7.5,10
bethesda,king street old town,AM Peak,2.25,18
bethesda,landover,AM Peak,0.75,20
bethesda,l'enfant plaza,AM Peak,2.25,11
bethesda,mcpherson square,AM Peak,1.0,9
bethesda,medical center,AM Peak,8.5,1
bethesda,metro center,AM Peak,33.25,8
bethesda,minnesota avenue,AM Peak,0.75,17
bethesda,morgan boulevard,AM Peak,0.5,20
bethesda,mount vernon square,AM Peak,3.0,10
bethesda,navy yard ballpark,AM Peak,1.5,13
bethesda,new carrollton,AM Peak,1.25,21
bethesda,noma gallaudet u,AM Peak,2.5,12
bethesda,pentagon,AM Peak,0.5,12
bethesda,pentagon city,AM Peak,0.75,13
bethesda,hyattsville crossing,AM Peak,0.25,17
bethesda,national airport,AM Peak,14.0,15
bethesda,rockville,AM Peak,7.0,5
bethesda,rosslyn,AM Peak,2.5,12
bethesda,shady grove,AM Peak,9.75,6
bethesda,silver spring,AM Peak,0.5,17
bethesda,smithsonian,AM Peak,22.75,10
bethesda,southern avenue,AM Peak,0.5,16
bethesda,stadium armory,AM Peak,1.0,16
bethesda,suitland,AM Peak,1.5,18
bethesda,takoma,AM Peak,0.75,16
bethesda,tenleytown au,AM Peak,13.25,2
bethesda,twinbrook,AM Peak,3.75,4
bethesda,u street,AM Peak,0.75,12
bethesda,union station,AM Peak,31.0,11
bethesda,van dorn street,AM Peak,0.75,19
bethesda,van ness udc,AM Peak,6.25,3
bethesda,vienna,AM Peak,0.5,20
bethesda,virginia square gmu,AM Peak,0.75,15
bethesda,waterfront,AM Peak,1.0,12
bethesda,west falls church,AM Peak,0.5,18
bethesda,west hyattsville,AM Peak,0.5,16
bethesda,wheaton,AM Peak,0.25,19
bethesda,north bethesda,AM Peak,5.75,3
bethesda,woodley park,AM Peak,11.25,5
braddock road,addison road,AM Peak,0.5,14
braddock road,anacostia,AM Peak,1.25,9
braddock road,archives,AM Peak,9.0,7
braddock road,arlington cemetery,AM Peak,7.25,6
braddock road,ballston-mu,AM Peak,2.75,11
braddock road,benning road,AM Peak,0.75,12
braddock road,bethesda,AM Peak,1.0,17
braddock road,braddock road,AM Peak,2.5,0
braddock road,branch avenue,AM Peak,1.25,14
braddock road,brookland cua,AM Peak,4.5,13
braddock road,capitol south,AM Peak,3.75,8
braddock road,cheverly,AM Peak,0.25,14
braddock road,clarendon,AM Peak,2.5,9
braddock road,cleveland park,AM Peak,1.25,13
braddock road,college park university of maryland,AM Peak,0.25,17
braddock road,columbia heights,AM Peak,3.0,12
braddock road,congress heights,AM Peak,0.5,10
braddock road,court house,AM Peak,1.0,8
braddock road,crystal city,AM Peak,6.75,3
braddock road,deanwood,AM Peak,0.25,13
braddock road,dunn loring,AM Peak,0.5,14
braddock road,dupont circle,AM Peak,9.25,11
braddock road,east falls church,AM Peak,1.25,12
braddock road,eastern market,AM Peak,3.5,9
braddock road,eisenhower avenue,AM Peak,7.75,2
braddock road,farragut north,AM Peak,2.0,10
braddock road,farragut west,AM Peak,8.5,9
braddock road,federal center sw,AM Peak,0.5,7
braddock road,federal triangle,AM Peak,5.0,8
braddock road,foggy bottom gwu,AM Peak,12.5,8
braddock road,forest glen,AM Peak,0.25,17
braddock road,fort totten,AM Peak,2.0,14
braddock road,franconia springfield,AM Peak,10.75,3
braddock road,friendship heights,AM Peak,0.25,16
braddock road,gallery place,AM Peak,11.75,8
braddock road,georgia avenue petworth,AM Peak,0.5,13
braddock road,glenmont,AM Peak,0.5,19
braddock road,greenbelt,AM Peak,0.25,18
braddock road,grosvenor strathmore,AM Peak,0.25,19
braddock road,huntington,AM Peak,11.25,3
braddock road,judiciary square,AM Peak,0.5,9
braddock road,king street old town,AM Peak,11.0,1
braddock road,largo,AM Peak,0.25,16
braddock road,l'enfant plaza,AM Peak,8.75,6
braddock road,mcpherson square,AM Peak,4.75,10
braddock road,medical center,AM Peak,0.25,18
braddock road,metro center,AM Peak,3.25,9
braddock road,minnesota avenue,AM Peak,0.5,12
braddock road,morgan boulevard,AM Peak,0.5,15
braddock road,mount vernon square,AM Peak,3.75,9
braddock road,navy yard ballpark,AM Peak,2.75,8
braddock road,naylor road,AM Peak,0.25,12
braddock road,new carrollton,AM Peak,0.75,16
braddock road,noma gallaudet u,AM Peak,1.5,11
braddock road,pentagon,AM Peak,0.5,5
braddock road,pentagon city,AM Peak,8.75,4
braddock road,potomac avenue,AM Peak,2.25,10
braddock road,hyattsville crossing,AM Peak,0.25,16
braddock road,national airport,AM Peak,23.25,2
braddock road,rhode island avenue,AM Peak,1.75,12
braddock road,rockville,AM Peak,1.0,22
braddock road,rosslyn,AM Peak,8.0,7
braddock road,shaw howard university,AM Peak,0.75,10
braddock road,silver spring,AM Peak,3.0,16
braddock road,smithsonian,AM Peak,8.75,7
braddock road,southern avenue,AM Peak,2.25,11
braddock road,stadium armory,AM Peak,0.25,11
braddock road,suitland,AM Peak,1.5,13
braddock road,takoma,AM Peak,0.5,15
braddock road,tenleytown au,AM Peak,2.0,15
braddock road,u street,AM Peak,4.25,11
braddock road,union station,AM Peak,7.0,10
braddock road,van dorn street,AM Peak,2.75,2
braddock road,van ness udc,AM Peak,0.5,14
braddock road,vienna,AM Peak,2.0,15
braddock road,virginia square gmu,AM Peak,1.25,10
braddock road,waterfront,AM Peak,0.5,7
braddock road,west falls church,AM Peak,0.25,13
braddock road,wheaton,AM Peak,1.0,18
braddock road,woodley park,AM Peak,3.75,12
branch avenue,addison road,AM Peak,2.5,16
branch avenue,anacostia,AM Peak,5.75,5
branch avenue,archives,AM Peak,15.5,9
branch avenue,arlington cemetery,AM Peak,3.75,10
branch avenue,ballston-mu,AM Peak,6.0,15
branch avenue,benning road,AM Peak,0.5,14
branch avenue,bethesda,AM Peak,2.75,19
branch avenue,braddock road,AM Peak,0.5,14
branch avenue,branch avenue,AM Peak,6.0,0
branch avenue,brookland cua,AM Peak,5.75,15
branch avenue,capitol heights,AM Peak,0.75,15
branch avenue,capitol south,AM Peak,1.5,10
branch avenue,cheverly,AM Peak,0.75,16
branch avenue,cleveland park,AM Peak,1.75,15
branch avenue,columbia heights,AM Peak,10.5,14
branch avenue,congress heights,AM Peak,2.0,4
branch avenue,court house,AM Peak,0.25,12
branch avenue,crystal city,AM Peak,2.5,11
branch avenue,deanwood,AM Peak,0.25,15
branch avenue,dunn loring,AM Peak,2.0,18
branch avenue,dupont circle,AM Peak,10.0,13
branch avenue,east falls church,AM Peak,0.5,16
branch avenue,eastern market,AM Peak,2.0,11
branch avenue,eisenhower avenue,AM Peak,0.5,16
branch avenue,farragut north,AM Peak,7.5,12
branch avenue,farragut west,AM Peak,8.25,13
branch avenue,federal triangle,AM Peak,9.25,10
branch avenue,foggy bottom gwu,AM Peak,16.75,12
branch avenue,fort totten,AM Peak,6.5,16
branch avenue,franconia springfield,AM Peak,2.0,17
branch avenue,friendship heights,AM Peak,4.5,18
branch avenue,gallery place,AM Peak,36.75,10
branch avenue,georgia avenue petworth,AM Peak,2.5,15
branch avenue,glenmont,AM Peak,0.25,21
branch avenue,greenbelt,AM Peak,2.0,20
branch avenue,grosvenor strathmore,AM Peak,1.0,21
branch avenue,huntington,AM Peak,2.25,17
branch avenue,judiciary square,AM Peak,1.0,11
branch avenue,king street old town,AM Peak,2.75,15
branch avenue,landover,AM Peak,0.5,17
branch avenue,largo,AM Peak,2.25,18
branch avenue,l'enfant plaza,AM Peak,26.25,8
branch avenue,mcpherson square,AM Peak,9.25,12
branch avenue,medical center,AM Peak,1.0,20
branch avenue,metro center,AM Peak,6.75,11
branch avenue,minnesota avenue,AM Peak,1.0,14
branch avenue,morgan boulevard,AM Peak,0.5,17
