ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
anacostia,dunn loring,AM Peak,6.727272727272728,13
anacostia,dupont circle,AM Peak,56.13636363636363,8
anacostia,east falls church,AM Peak,1.5454545454545454,11
anacostia,eastern market,AM Peak,8.409090909090908,6
anacostia,eisenhower avenue,AM Peak,3.090909090909091,11
anacostia,farragut north,AM Peak,74.54545454545455,7
anacostia,farragut west,AM Peak,107.0,8
anacostia,federal center sw,AM Peak,16.09090909090909,4
anacostia,federal triangle,AM Peak,52.63636363636363,5
anacostia,foggy bottom gwu,AM Peak,110.9090909090909,7
anacostia,forest glen,AM Peak,1.9090909090909087,14
anacostia,fort totten,AM Peak,60.59090909090909,11
anacostia,franconia springfield,AM Peak,15.590909090909092,12
anacostia,friendship heights,AM Peak,21.63636363636364,13
anacostia,gallery place,AM Peak,154.5,5
anacostia,georgia avenue petworth,AM Peak,77.4090909090909,10
anacostia,glenmont,AM Peak,4.727272727272728,16
anacostia,greenbelt,AM Peak,17.772727272727273,15
anacostia,grosvenor strathmore,AM Peak,5.454545454545454,16
anacostia,huntington,AM Peak,10.727272727272728,12
anacostia,judiciary square,AM Peak,56.90909090909091,6
anacostia,king street old town,AM Peak,18.5,10
anacostia,landover,AM Peak,4.0,12
anacostia,largo,AM Peak,12.909090909090908,13
anacostia,l'enfant plaza,AM Peak,154.3181818181818,3
anacostia,mcpherson square,AM Peak,107.63636363636364,7
anacostia,medical center,AM Peak,34.5,15
anacostia,metro center,AM Peak,63.09090909090909,6
anacostia,minnesota avenue,AM Peak,59.27272727272727,9
anacostia,morgan boulevard,AM Peak,3.772727272727273,12
anacostia,mount vernon square,AM Peak,62.31818181818182,6
anacostia,navy yard ballpark,AM Peak,75.54545454545455,1
anacostia,naylor road,AM Peak,14.954545454545457,3
anacostia,new carrollton,AM Peak,22.681818181818183,13
anacostia,noma gallaudet u,AM Peak,48.72727272727273,8
anacostia,pentagon,AM Peak,79.86363636363636,4
anacostia,pentagon city,AM Peak,24.727272727272727,5
anacostia,potomac avenue,AM Peak,9.136363636363637,7
anacostia,hyattsville crossing,AM Peak,21.318181818181817,13
anacostia,national airport,AM Peak,8.727272727272727,7
anacostia,rhode island avenue,AM Peak,68.77272727272727,9
anacostia,rockville,AM Peak,9.045454545454543,19
anacostia,rosslyn,AM Peak,35.95454545454545,6
anacostia,shady grove,AM Peak,12.590909090909092,20
anacostia,shaw howard university,AM Peak,87.77272727272727,7
anacostia,silver spring,AM Peak,36.72727272727273,13
anacostia,smithsonian,AM Peak,28.818181818181817,4
anacostia,southern avenue,AM Peak,18.09090909090909,2
anacostia,stadium armory,AM Peak,35.09090909090909,8
anacostia,suitland,AM Peak,51.09090909090909,4
anacostia,takoma,AM Peak,13.454545454545457,12
anacostia,tenleytown au,AM Peak,41.45454545454545,12
anacostia,twinbrook,AM Peak,8.818181818181818,18
anacostia,u street,AM Peak,68.04545454545455,8
anacostia,union station,AM Peak,89.13636363636364,7
anacostia,van dorn street,AM Peak,4.909090909090909,11
anacostia,van ness udc,AM Peak,21.363636363636363,11
anacostia,vienna,AM Peak,6.545454545454546,14
anacostia,virginia square gmu,AM Peak,5.636363636363637,9
anacostia,waterfront,AM Peak,52.63636363636363,2
anacostia,west falls church,AM Peak,18.181818181818183,12
anacostia,west hyattsville,AM Peak,4.681818181818182,12
anacostia,wheaton,AM Peak,7.090909090909091,15
anacostia,north bethesda,AM Peak,8.636363636363637,17
anacostia,woodley park,AM Peak,9.545454545454543,9
archives,addison road,AM Peak,0.5909090909090909,9
archives,anacostia,AM Peak,12.272727272727272,4
archives,archives,AM Peak,9.363636363636363,0
archives,arlington cemetery,AM Peak,0.3181818181818182,3
archives,ballston-mu,AM Peak,0.9545454545454546,8
archives,benning road,AM Peak,0.7727272727272727,7
archives,bethesda,AM Peak,0.8181818181818182,10
archives,braddock road,AM Peak,5.0,7
archives,branch avenue,AM Peak,3.590909090909091,9
archives,brookland cua,AM Peak,2.6818181818181817,6
archives,capitol heights,AM Peak,0.8636363636363636,8
archives,capitol south,AM Peak,10.136363636363637,3
archives,cheverly,AM Peak,0.1818181818181818,9
archives,clarendon,AM Peak,0.2272727272727272,6
archives,college park university of maryland,AM Peak,7.318181818181818,10
archives,columbia heights,AM Peak,13.0,5
archives,congress heights,AM Peak,4.545454545454546,5
archives,court house,AM Peak,0.1818181818181818,5
archives,crystal city,AM Peak,28.954545454545453,4
archives,deanwood,AM Peak,0.5,8
archives,dunn loring,AM Peak,0.4545454545454545,11
archives,dupont circle,AM Peak,2.9545454545454546,4
