station_name,station_id,lat,lon,line
East Falls Church,K05,38.885841,-77.157177,SV
McLean,N01,38.924478,-77.210167,SV
Tysons,N02,38.920056,-77.223314,SV
Greensboro,N03,38.919749,-77.235192,SV
Spring Hill,N04,38.929273,-77.241988,SV
Wiehle-Reston East,N06,38.947753,-77.340179,SV
Reston Town Center,N07,38.952768,-77.360185,SV
Herndon,N08,38.952821,-77.385178,SV
Innovation Center,N09,38.960758,-77.415295,SV
Washington Dulles International Airport,N10,38.955784,-77.448148,SV
Loudoun Gateway,N11,38.99204,-77.460685,SV
Ashburn,N12,39.005283,-77.491537,SV
Pentagon,C07,38.869349,-77.054013,YL
Pentagon City,C08,38.863045,-77.059507,YL
Crystal City,C09,38.85779,-77.050589,YL
Ronald Reagan Washington National Airport,C10,38.852985,-77.043805,YL
Potomac Yard,C11,38.83321,-77.04642,YL
Braddock Road,C12,38.814009,-77.053763,YL
King St-Old Town,C13,38.806474,-77.061115,YL
Eisenhower Avenue,C14,38.800313,-77.071173,YL
Huntington,C15,38.793841,-77.075301,YL
Mt Vernon Sq 7th St-Convention Center,E01,38.905604,-77.022256,YL
Shaw-Howard U,E02,38.912919,-77.022194,YL
U Street/African-Amer Civil War Memorial/Cardozo,E03,38.916489,-77.028938,YL
Columbia Heights,E04,38.928672,-77.032775,YL
Georgia Ave-Petworth,E05,38.936077,-77.024728,YL
Fort Totten,E06,38.951777,-77.002174,YL
Gallery Pl-Chinatown,F01,38.89834,-77.021851,YL
Archives-Navy Memorial-Penn Quarter,F02,38.893893,-77.021902,YL
L'Enfant Plaza,F03,38.884775,-77.021964,YL
