station_name,station_id,line_name,lat,lon
largo,G05,blue,38.9008,-76.8449
potomac avenue,D07,blue,38.880841,-76.985721
eastern market,D06,blue,38.884124,-76.995334
foggy bottom gwu,C04,blue,38.900599,-77.050273
crystal city,C09,blue,38.85779,-77.050589
braddock road,C12,blue,38.814009,-77.053763
pentagon city,C08,blue,38.863045,-77.059507
benning road,G01,blue,38.890488,-76.938291
morgan boulevard,G04,blue,38.8913,-76.8682
king street old town,C13,blue,38.806474,-77.061115
potomac yard,C11,blue,38.83321,-77.04642
pentagon,C07,blue,38.869349,-77.054013
federal center sw,D04,blue,38.884958,-77.01586
mcpherson square,C02,blue,38.901316,-77.033652
farragut west,C03,blue,38.901311,-77.03981
smithsonian,D02,blue,38.888022,-77.028232
federal triangle,D01,blue,38.893757,-77.028218
capitol south,D05,blue,38.884968,-77.005137
national airport,C10,blue,38.852985,-77.043805
franconia springfield,J03,blue,38.766129,-77.168797
l'enfant plaza,D03,blue,38.884775,-77.021964
stadium armory,D08,blue,38.88594,-76.977485
capitol heights,G02,blue,38.889757,-76.913382
addison road,G03,blue,38.886713,-76.893592
metro center,C01,blue,38.898303,-77.028099
arlington cemetery,C06,blue,38.884574,-77.063108
rosslyn,C05,blue,38.896595,-77.07146
van dorn street,J02,blue,38.799193,-77.129407
gallery place,F01,green,38.89834,-77.021851
college park university of maryland,E09,green,38.978523,-76.928432
anacostia,F06,green,38.862072,-76.995648
west hyattsville,E07,green,38.954931,-76.969881
southern avenue,F08,green,38.840974,-76.97536
congress heights,F07,green,38.845334,-76.98817
waterfront,F04,green,38.876221,-77.017491
navy yard ballpark,F05,green,38.876588,-77.005086
branch avenue,F11,green,38.826995,-76.912134
naylor road,F09,green,38.851187,-76.956565
l'enfant plaza,F03,green,38.884775,-77.021964
archives,F02,green,38.893893,-77.021902
mount vernon square,E01,green,38.905604,-77.022256
shaw howard university,E02,green,38.912919,-77.022194
u street,E03,green,38.916489,-77.028938
columbia heights,E04,green,38.928672,-77.032775
georgia avenue petworth,E05,green,38.936077,-77.024728
fort totten,E06,green,38.951777,-77.002174
hyattsville crossing,E08,green,38.965276,-76.956182
suitland,F10,green,38.843891,-76.932022
greenbelt,E10,green,39.011036,-76.911362
potomac avenue,D07,orange,38.880841,-76.985721
landover,D12,orange,38.934411,-76.890988
virginia square gmu,K03,orange,38.88331,-77.104267
federal triangle,D01,orange,38.893757,-77.028218
l'enfant plaza,D03,orange,38.884775,-77.021964
eastern market,D06,orange,38.884124,-76.995334
new carrollton,D13,orange,38.947674,-76.872144
capitol south,D05,orange,38.884968,-77.005137
federal center sw,D04,orange,38.884958,-77.01586
smithsonian,D02,orange,38.888022,-77.028232
court house,K01,orange,38.891499,-77.08391
stadium armory,D08,orange,38.88594,-76.977485
minnesota avenue,D09,orange,38.898284,-76.948042
deanwood,D10,orange,38.907734,-76.936177
cheverly,D11,orange,38.91652,-76.915427
dunn loring,K07,orange,38.883015,-77.228939
vienna,K08,orange,38.877693,-77.271562
west falls church,K06,orange,38.90067,-77.189394
foggy bottom gwu,C04,orange,38.900599,-77.050273
mcpherson square,C02,orange,38.901316,-77.033652
metro center,C01,orange,38.898303,-77.028099
clarendon,K02,orange,38.886373,-77.096963
rosslyn,C05,orange,38.896595,-77.07146
farragut west,C03,orange,38.901311,-77.03981
ballston mu,K04,orange,38.882071,-77.111845
east falls church,K05,orange,38.885841,-77.157177
fort totten,B06,red,38.951777,-77.002174
rockville,A14,red,39.084215,-77.146424
woodley park,A04,red,38.924999,-77.052648
silver spring,B08,red,38.993841,-77.031321
judiciary square,B02,red,38.896084,-77.016643
metro center,A01,red,38.898303,-77.028099
grosvenor strathmore,A11,red,39.029158,-77.10415
shady grove,A15,red,39.119819,-77.164921
dupont circle,A03,red,38.909499,-77.04362
bethesda,A09,red,38.984282,-77.094431
north bethesda,A12,red,39.048043,-77.113131
tenleytown au,A07,red,38.947808,-77.079615
takoma,B07,red,38.975532,-77.017834
glenmont,B11,red,39.061713,-77.05341
twinbrook,A13,red,39.062359,-77.121113
friendship heights,A08,red,38.960744,-77.085969
cleveland park,A05,red,38.934703,-77.058226
farragut north,A02,red,38.903192,-77.039766
noma gallaudet u,B35,red,38.907407,-77.002961
wheaton,B10,red,39.038558,-77.051098
van ness udc,A06,red,38.94362,-77.063511
rhode island avenue,B04,red,38.920741,-76.995984
forest glen,B09,red,39.015413,-77.042953
brookland cua,B05,red,38.933234,-76.994544
union station,B03,red,38.897723,-77.006745
gallery place,B01,red,38.89834,-77.021851
medical center,A10,red,38.999947,-77.097253
spring hill,N04,silver,38.929273,-77.241988
foggy bottom gwu,C04,silver,38.900599,-77.050273
dulles international airport,N10,silver,38.955784,-77.448148
stadium armory,D08,silver,38.88594,-76.977485
ballston-mu,K04,silver,38.882071,-77.111845
court house,K01,silver,38.891499,-77.08391
mcpherson square,C02,silver,38.901316,-77.033652
smithsonian,D02,silver,38.888022,-77.028232
federal center sw,D04,silver,38.884958,-77.01586
capitol south,D05,silver,38.884968,-77.005137
mclean,N01,silver,38.924478,-77.210167
innovation center,N09,silver,38.960758,-77.415295
ashburn,N12,silver,39.005283,-77.491537
herndon,N08,silver,38.952821,-77.385178
farragut west,C03,silver,38.901311,-77.03981
tysons,N02,silver,38.920056,-77.223314
virginia square gmu,K03,silver,38.88331,-77.104267
rosslyn,C05,silver,38.896595,-77.07146
metro center,C01,silver,38.898303,-77.028099
east falls church,K05,silver,38.885841,-77.157177
greensboro,N03,silver,38.919749,-77.235192
reston town center,N07,silver,38.952768,-77.360185
loudoun gateway,N11,silver,38.99204,-77.460685
l'enfant plaza,D03,silver,38.884775,-77.021964
largo,G05,silver,38.9008,-76.8449
benning road,G01,silver,38.890488,-76.938291
capitol heights,G02,silver,38.889757,-76.913382
clarendon,K02,silver,38.886373,-77.096963
wiehle reston east,N06,silver,38.947753,-77.340179
federal triangle,D01,silver,38.893757,-77.028218
potomac avenue,D07,silver,38.880841,-76.985721
morgan boulevard,G04,silver,38.8913,-76.8682
addison road,G03,silver,38.886713,-76.893592
eastern market,D06,silver,38.884124,-76.995334
mount vernon square,E01,yellow,38.905604,-77.022256
huntington,C15,yellow,38.793841,-77.075301
king street old town,C13,yellow,38.806474,-77.061115
gallery place,F01,yellow,38.89834,-77.021851
archives,F02,yellow,38.893893,-77.021902
pentagon city,C08,yellow,38.863045,-77.059507
eisenhower avenue,C14,yellow,38.800313,-77.071173
braddock road,C12,yellow,38.814009,-77.053763
pentagon,C07,yellow,38.869349,-77.054013
potomac yard,C11,yellow,38.83321,-77.04642
national airport,C10,yellow,38.852985,-77.043805
crystal city,C09,yellow,38.85779,-77.050589
l'enfant plaza,F03,yellow,38.884775,-77.021964
